SiteName,YYYYUTC,MMUTC,DDUTC,HHUTC,MMUTC,LATDD,LATMM,LONDD,LONMM,FILE,Atten,Gain,Stacks,Epoch,ApproxDepth,cheked,comments
CP01,2019,12,7,23,3,-82,29.3696,-152,31.8807,2019-12-07_225600.dat,20,-4,64,1,710,y,
CP02,2019,12,7,23,20,-82,29.0999,-152,31.2465,2019-12-07_231044.dat,22,-4,64,1,713,y,
CP03,2019,12,7,23,35,-82,28.8473,-152,30.7217,2019-12-07_232530.dat,22,-4,64,1,720,y,
CP04,2019,12,7,23,47,-82,28.6123,-152,29.9591,2019-12-07_233943.dat,20,-4,64,1,718,y,
CP05,2019,12,7,23,59,-82,28.357,-152,29.2781,2019-12-07_235231.dat,20,-4,64,1,615,y,
CP06,2019,12,8,0,14,-82,28.2004,-152,28.862,2019-12-08_000409.dat,20,-4,64,1,454,y,
CP07,2019,12,8,0,29,-82,28.0185,-152,28.4369,2019-12-08_001936.dat,20,-4,64,1,462,y,
CP08,2019,12,8,0,42,-82,27.7892,-152,27.9947,2019-12-08_003236.dat,20,-4,64,1,571,y,
CP09,2019,12,8,1,48,-82,27.6111,-152,27.4694,2019-12-08_013943.dat,20,-4,64,1,715,y,
CP10,2019,12,8,2,2,-82,27.4165,-152,26.9755,2019-12-08_015742.dat,22,-4,64,1,717,y,
CP11,2019,12,8,2,20,-82,27.2157,-152,26.4718,2019-12-08_021102.dat,22,-4,64,1,717,y,
CP12,2019,12,8,2,35,-82,27.7067,-152,27.7612,2019-12-08_022603.dat,20,-4,64,1,628,y,
CP13,2019,12,8,2,60,-82,27.8627,-152,28.1431,2019-12-08_024034.dat,20,-4,64,1,548,y,
CP14,2019,12,8,3,2,-82,28.084,-152,28.6075,2019-12-08_025312.dat,20,-4,64,1,432,y,
CP15,2019,12,8,3,16,-82,27.9343,-152,28.2547,2019-12-08_030609.dat,22,-4,64,1,521,y,
CP01,2019,12,21,,,-82,29.3696,-152,31.8807,2019-12-21_215758.dat,20,-4,64,2,,,
CP02,2019,12,21,,,-82,29.0999,-152,31.2465,2019-12-21_221136.dat,22,-4,64,2,,,
CP03,2019,12,21,,,-82,28.8473,-152,30.7217,2019-12-21_222317.dat,22,-4,64,2,,,
CP04,2019,12,21,22,47,-82,28.6123,-152,29.9591,2019-12-21_223725.dat,20,-4,64,2,,,
CP05,2019,12,21,22,58,-82,28.357,-152,29.2781,2019-12-21_224933.dat,20,-4,64,2,,,
CP06,2019,12,21,23,13,-82,28.2004,-152,28.862,2019-12-21_230256.dat,20,-4,64,2,,,
CP07,2019,12,21,23,23,-82,28.0185,-152,28.4369,2019-12-21_232339.dat,20,-4,64,2,,,
CP08,2019,12,22,2,0,-82,27.7892,-152,27.9947,2019-12-22_015010.dat,20,-4,64,2,,,
CP09,2019,12,22,2,23,-82,27.6111,-152,27.4694,2019-12-22_021325.dat,22,-4,64,2,,,
CP10,2019,12,22,2,33,-82,27.4165,-152,26.9755,2019-12-22_022327.dat,22,-4,64,2,,,
CP11,2019,12,22,2,43,-82,27.2157,-152,26.4718,2019-12-22_023324.dat,22,-4,64,2,,,
CP12,2019,12,22,2,12,,,,,2019-12-22_020319.dat,20,-4,64,2,,,
CP13,2019,12,21,23,59,,,,,2019-12-21_235003.dat,20,-4,64,2,,,
CP14,2019,12,21,23,23,,,,,2019-12-21_231333.dat,20,-4,64,2,,,
CP15,2019,12,21,23,33,,,,,2019-12-21_233833.dat,22,-4,64,2,,,
CP16,2019,12,22,3,20,-82,27.7201,-152,30.6823,2019-12-22_031028.dat,25,-4,64,1,464,,No repeat 2020
CP17,2019,12,22,3,32,-82,27.6142,-152,31.2976,2019-12-22_032236.dat,20,-4,64,1,477,,No repeat 2020
CP18,2019,12,22,3,45,-82,27.8623,-152,29.182,2019-12-22_033556.dat,23,-4,64,1,474,,No repeat 2020
CP19,2019,12,22,3,59,-82,28.0676,-152,27.0222,2019-12-22_034921.dat,22,-4,64,1,487,,No repeat 2020
CP20,2019,12,22,4,12,-82,28.1035,-152,26.1468,2019-12-22_040202.dat,20,-4,64,1,496,,"No repeat 2020, multiple reflectors"
CP21,2019,12,22,4,22,-82,28.145,-152,25.0323,2019-12-22_041156.dat,20,-4,64,1,470,,No repeat 2020
CP22,2019,12,22,4,32,-82,28.1783,-152,24.3089,2019-12-22_042312.dat,20,-4,64,1,455,,No repeat 2020
CP23,2019,12,22,4,44,-82,28.216,-152,22.9957,2019-12-22_043429.dat,20,-4,64,1,452,,No repeat 2020
CP24,2019,12,22,4,54,-82,28.2328,-152,22.052,2019-12-22_044431.dat,22,-4,64,1,473,,No repeat 2020
CP25,2019,12,22,5,6,-82,28.2159,-152,21.1045,2019-12-22_045518.dat,22,-4,64,1,433,,No repeat 2020